Technology,Phase,Functional Unit,Ecoinvent Database Type,Method Family,Impact Category,Score,Impact Unit
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,ecotoxicity: freshwater,2.9548114357823524e-06,CTUe
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,"ecotoxicity: freshwater, inorganics",2.953031044463674e-06,CTUe
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,"ecotoxicity: freshwater, organics",1.7803913186775326e-09,CTUe
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,energy resources: non-renewable,3.2940466580627923e-07,"MJ, net calorific value"
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: freshwater,6.468543973915368e-11,kg P-Eq
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: marine,5.460083087322723e-10,kg N-Eq
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,eutrophication: terrestrial,2.9431537527336e-10,mol N-Eq
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,human toxicity: carcinogenic,2.619217772829989e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: carcinogenic, inorganics",1.8391580172716868e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: carcinogenic, organics",7.800597555583018e-18,CTUh
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,human toxicity: non-carcinogenic,2.570721911165453e-15,CTUh
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: non-carcinogenic, inorganics",2.558697725125392e-15,CTUh
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,"human toxicity: non-carcinogenic, organics",1.2024186040061902e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,ionising radiation: human health,5.952944101989226e-09,kBq U235-Eq
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,land use,1.017537162041908e-07,dimensionless
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,material resources: metals/minerals,1.2479145222736262e-13,kg Sb-Eq
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,ozone depletion,2.9987800372300367e-16,kg CFC-11-Eq
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,particulate matter formation,1.3457864932378385e-15,disease incidence
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,photochemical oxidant formation: human health,7.524825889769634e-11,kg NMVOC-Eq
Elec_PV,Use,kWh,ecoinvent-cutoff-3.11,EF v3.1,water use,2.2807859906690328e-07,m3 world Eq deprived
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,acidification,1.1410670142004859e-10,mol H+-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,climate change,2.8433402498687534e-08,kg CO2-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,climate change: biogenic,1.7759296272760602e-09,kg CO2-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,climate change: fossil,2.6637143021481336e-08,kg CO2-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,climate change: land use and land use change,2.0329849930139056e-11,kg CO2-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,ecotoxicity: freshwater,3.054869962094142e-06,CTUe
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,"ecotoxicity: freshwater, inorganics",3.051617250723977e-06,CTUe
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,"ecotoxicity: freshwater, organics",3.252711370163775e-09,CTUe
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,energy resources: non-renewable,3.6002902572545655e-07,"MJ, net calorific value"
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,eutrophication: freshwater,6.187596540846591e-11,kg P-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,eutrophication: marine,5.482768529149975e-10,kg N-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,eutrophication: terrestrial,3.2457532399745295e-10,mol N-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,human toxicity: carcinogenic,2.9807930766154525e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: carcinogenic, inorganics",1.86151297418026e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: carcinogenic, organics",1.1192801024351927e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,human toxicity: non-carcinogenic,2.689867973913292e-15,CTUh
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: non-carcinogenic, inorganics",2.6806735601957846e-15,CTUh
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: non-carcinogenic, organics",9.194413717506426e-18,CTUh
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,ionising radiation: human health,2.239660681301071e-09,kBq U235-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,land use,1.4982195983307603e-07,dimensionless
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,material resources: metals/minerals,5.529012589457627e-13,kg Sb-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,ozone depletion,6.407695145818519e-16,kg CFC-11-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,particulate matter formation,1.4099259277230038e-15,disease incidence
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,photochemical oxidant formation: human health,9.621814148177891e-11,kg NMVOC-Eq
Elec_PV,Use,kWh,ecoinvent-consequential-3.11,EF v3.1,water use,2.2660219812308996e-07,m3 world Eq deprived
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,acidification,1.16972458629576e-10,mol H+-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,climate change,2.3570754953123388e-08,kg CO2-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,climate change: biogenic,1.8196811727689986e-09,kg CO2-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,climate change: fossil,2.1712550975345005e-08,kg CO2-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,climate change: land use and land use change,3.8522805009385964e-11,kg CO2-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,ecotoxicity: freshwater,2.9602507535547666e-06,CTUe
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,"ecotoxicity: freshwater, inorganics",2.9573383252690575e-06,CTUe
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,"ecotoxicity: freshwater, organics",2.912428285709228e-09,CTUe
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,energy resources: non-renewable,3.20914052992535e-07,"MJ, net calorific value"
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,eutrophication: freshwater,6.491944253254585e-11,kg P-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,eutrophication: marine,5.469063450088281e-10,kg N-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,eutrophication: terrestrial,2.9959197743275147e-10,mol N-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,human toxicity: carcinogenic,2.6304479977225667e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,"human toxicity: carcinogenic, inorganics",1.859086624609035e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,"human toxicity: carcinogenic, organics",7.713613731135315e-18,CTUh
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,human toxicity: non-carcinogenic,2.5790141345843927e-15,CTUh
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,"human toxicity: non-carcinogenic, inorganics",2.5669093851101386e-15,CTUh
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,"human toxicity: non-carcinogenic, organics",1.2104749474253809e-17,CTUh
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,ionising radiation: human health,5.970003938661684e-09,kBq U235-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,land use,1.075439391149031e-07,dimensionless
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,material resources: metals/minerals,1.2978886265423035e-13,kg Sb-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,ozone depletion,3.0529368362224985e-16,kg CFC-11-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,particulate matter formation,1.3168451244416833e-15,disease incidence
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,photochemical oxidant formation: human health,7.623496816057843e-11,kg NMVOC-Eq
Elec_PV,Use,kWh,ecoinvent-apos-3.11,EF v3.1,water use,2.2850630678079703e-07,m3 world Eq deprived
Fuel_MeOH,Infra,kg/hr,ecoinvent-cutoff-3.11,EF v3.1,acidification,4.439653877049452,mol H+-Eq
