Datetime;PRICE;Production;Load;EF_scope2_production;Emissions_scope2_production;EF_scope3_production;Emissions_scope3_production
11/10/2019 18:00;;2540.0;;119.06887585788824;302434.94467903615;152.6693474908876;387780.1426268545
11/10/2019 19:00;;2527.0;;118.53463927808491;299537.0334557206;151.63726577096048;383187.3706032171
11/10/2019 20:00;;2737.0;;80.21233465312382;219541.1599455999;107.34690027344314;293808.4660484139
11/10/2019 21:00;;2777.0;;87.8030174817711;243828.97954687837;115.92616133604972;321926.9500302101
11/10/2019 22:00;;2717.0;;89.12575016444575;242154.66319679908;118.09895861963011;320874.870569535
11/10/2019 23:00;;2671.0;;94.5593691698008;252568.07505253793;124.66732292967129;332986.419545152
12/10/2019 00:00;;2930.0;;130.9849070269365;383785.7775889239;166.00826457375243;486404.2152010946
12/10/2019 01:00;;2881.0;;99.01739843588585;285269.12489378714;129.27894086131667;372452.62862145336
12/10/2019 02:00;;2798.0;;44.77926727513399;125292.3898358249;67.71588704840342;189469.05196143276
12/10/2019 03:00;;2765.0;;28.08523616594858;77655.67799884782;47.84361497304431;132287.59540046751
12/10/2019 04:00;;2875.0;;26.16704934269213;75230.26686023988;45.71265246268742;131423.87583022634
12/10/2019 05:00;;2963.0;;26.01729457926818;77089.24383837162;45.73220022180597;135504.5092572111
12/10/2019 06:00;;3122.0;;36.55541712725824;114126.01227130022;58.195325498911984;181685.80620760322
12/10/2019 07:00;;3316.0;;49.58483075319636;164423.29877759912;74.04532083050465;245534.28387395342
12/10/2019 08:00;;3700.0;;48.89990386466023;180929.64429924285;74.93228264177074;277249.4457745517
12/10/2019 09:00;;4118.0;;28.62311805021349;117870.00013077914;51.9935406441862;214109.40037275877
12/10/2019 10:00;;4188.0;;17.53937341420497;73454.89585869042;39.58059834057465;165763.54585032666
12/10/2019 11:00;;4199.0;;16.825623002254837;70650.79098646806;38.834078892227936;163064.2972684651
12/10/2019 12:00;;4055.0;;17.643847443485846;71545.8013833351;39.37428756344342;159662.73606976305
12/10/2019 13:00;;4124.0;;17.32455322977833;71446.45751960584;37.72770986689432;155589.07549107217
12/10/2019 14:00;;3871.0;;19.78922707426212;76604.09800446866;39.86197196329581;154305.69346991807
12/10/2019 15:00;;3554.0;;26.662357546578576;94758.01872054026;47.45210896321211;168644.79525525586
12/10/2019 16:00;;3196.0;;31.879698764674753;101887.51725190051;52.78763597603273;168709.2845794006
12/10/2019 17:00;;2996.0;;43.76331290246353;131114.88545578075;66.22123762327566;198398.82791933385
12/10/2019 18:00;;2915.0;;47.44761785675661;138309.80605244552;70.69555586593553;206077.5453492021
12/10/2019 19:00;;2655.0;;47.051779831586046;124922.47545286095;70.23654533985972;186478.02787732755
12/10/2019 20:00;;2450.0;;45.795734466337244;112199.54944252624;68.90311666565295;168812.63583084973
12/10/2019 21:00;;2304.0;;52.698809019307745;121418.05598048505;77.4946337929558;178547.63625897016
12/10/2019 22:00;;1912.0;;60.62941948882279;115923.45006262917;86.10077361145271;164624.6791450976
12/10/2019 23:00;;1782.0;;89.79816299209364;160020.32645191086;120.50644047916205;214742.47693386677
13/10/2019 00:00;;1484.0;;78.07864578931945;115868.71035135008;107.14141858960019;158997.8651869667
13/10/2019 01:00;;1226.0;;101.2395401228206;124119.67619057806;134.03308550329507;164324.56282703977
13/10/2019 02:00;;1067.0;;145.20346763176906;154932.09996309757;185.14847931396122;197553.42742799662
13/10/2019 03:00;;1024.0;;168.30860663953152;172348.01319888028;212.97574418141102;218087.16204176488
13/10/2019 04:00;;886.0;;130.83844218701088;115922.85977769164;169.51810845578845;150193.04409182857
13/10/2019 05:00;;1042.0;;142.180210767354;148151.77961958287;184.25456822005427;191993.26008529656
13/10/2019 06:00;;989.0;;138.8642340913604;137336.72751635543;179.8230171853801;177844.96399634093
13/10/2019 07:00;;1172.0;;115.83755515483323;135761.61464146455;154.83482355907006;181466.4132112301
13/10/2019 08:00;;1373.0;;103.61528527763068;142263.7866861869;142.99308948495437;196329.51186284237
13/10/2019 09:00;;1441.0;;119.53628808910196;172251.7911363959;164.63140687519314;237233.85730715332
13/10/2019 10:00;;1412.0;;167.16067407159602;236030.8717890936;219.47866626641263;309903.87676817464
13/10/2019 11:00;;1433.0;;175.38714786220325;251329.78288653726;227.96637408162562;326675.8140589695
13/10/2019 12:00;;1559.0;;117.57725330303278;183302.9378994281;158.99850117293067;247878.66332859892
13/10/2019 13:00;;1771.0;;90.84303215253475;160883.00994213903;125.30782808164973;221920.16353260167
