Informations,Time,CO2 PS,MeOH,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Power_to_the_grid,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Electricity consumption
 ,3324,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3984.560028253526,-0.0,395517.0182380948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1639.1890434045167,0.0,138839.3190461791,12440.93780338933,0.0,177113.68861723415,245875.95043193092
 ,3325,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4265.165568848899,-0.0,396964.0317194537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1795.3022856335183,0.0,0.0,146195.64806031025,0.0,323309.3366775444,252563.68594477695
 ,3326,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4545.771109444272,-0.0,399375.7208550518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1405.0191800610144,0.0,0.0,148120.79666033466,0.0,471430.1333378791,252659.94337477817
 ,3327,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4826.376650039645,-0.0,380564.5455973864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128867.27814821423,0.0,600297.4114860933,251697.26744917216
 ,3328,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,5106.982190635018,-0.0,354518.30293292645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104061.3327534905,0.0,704358.7442395838,250456.97017943597
 ,3329,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,5387.587731230391,-0.0,333777.77636678243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84308.45030954381,0.0,788667.1945491276,249469.32605723865
 ,3330,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,5668.193271825764,-0.0,281685.29103786265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34696.55952009641,0.0,823363.754069224,246988.73151776628
 ,3331,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,5668.193271825764,-0.0,198240.84694616703,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,34724.9962792128,788638.7577900112,232965.84322537982
 ,3332,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,5668.193271825764,-0.0,76691.71451202083,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,162671.45147305093,625967.3063169604,239363.16598507174
 ,3333,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,5668.193271825764,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,156.11324222900157,-0.0,0.0,0.0,243235.2422833581,382732.06403360225,243391.3555255871
 ,3334,13175.01261104177,9023.981240439569,9813.916252883257,853.8107140008433,1794.0320557533933,0.0,12244.46909146094,6779.257069166696,0.0,940.22134175255,4727.971930073214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1092.792695603011,-0.0,0.0,0.0,51263.22180770154,331468.84222590073,52356.01450330455
 ,3335,6353.386906714604,4351.634867612743,5294.581981046695,460.62863235106244,865.1361565830503,0.0,6254.448945816166,3657.3913408674357,0.0,404.5075242319878,4323.464405841226,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,27799.348568675974,303669.49365722475,27799.348568675974
 ,3336,6353.386906714604,4351.634867612743,5294.581981046695,460.62863235106244,865.1361565830503,0.0,6254.448945816166,3657.3913408674357,0.0,404.5075242319878,3918.9568816092383,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,27799.348568675974,275870.1450885488,27799.348568675974
 ,3337,6353.386906714604,4351.634867612743,5294.581981046695,460.62863235106244,865.1361565830503,0.0,6254.448945816166,3657.3913408674357,0.0,404.5075242319878,3514.4493573772506,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,27799.348568675974,248070.7965198728,27799.348568675974
 ,3338,6353.386906714604,4351.634867612743,5294.581981046695,460.62863235106244,865.1361565830503,0.0,6254.448945816166,3657.3913408674357,0.0,404.5075242319878,3109.941833145263,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,27799.348568675974,220271.4479511968,27799.348568675974
 ,3339,6353.386906714604,4351.634867612743,5294.581981046695,460.62863235106244,865.1361565830503,0.0,6254.448945816166,3657.3913408674357,0.0,404.5075242319878,2705.4343089132753,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,27799.348568675974,192472.09938252083,27799.348568675974
 ,3340,6353.386906714604,4351.634867612743,5294.581981046695,460.62863235106244,865.1361565830503,0.0,6254.448945816166,3657.3913408674357,0.0,404.5075242319878,2300.926784681288,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,27799.348568675974,164672.75081384482,27799.348568675974
 ,3341,11861.40803713791,8124.252080231445,18565.05125621317,1615.1594592905456,1615.1594592905456,0.0,17079.342186321945,12824.366106766933,0.0,0.0,2300.926784681288,-0.0,86338.47105441338,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.575908993943717e-11,164672.75081384482,86338.47105441337
 ,3342,31542.06829987511,21604.156369777473,49368.51618970652,4295.060908504467,4295.060908504467,0.0,45417.692070889636,34102.78361352547,0.0,0.0,2300.926784681288,-0.0,229592.80570894285,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-3.919204142508342e-11,164672.75081384482,229592.80570894282
 ,3343,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,2581.532325276661,-0.0,312072.5741463992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66818.6706046378,-0.0,0.0,164672.75081384482,245253.90354176145
 ,3344,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,2862.137865872034,-0.0,357412.3298956442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112158.4263538828,0.0,0.0,164672.75081384482,245253.90354176145
 ,3345,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3142.743406467407,-0.0,384423.24821434345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139169.34467258202,-0.0,0.0,164672.75081384482,245253.90354176145
 ,3346,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3423.34894706278,-0.0,400340.3965092911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,52.0377474096672,0.0,155138.53071493932,-0.0,0.0,164672.75081384482,245253.90354176145
 ,3347,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3703.954487658153,-0.0,406610.7882618463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,12332.946136091125,0.0,173689.830856176,0.0,-0.0,164672.75081384482,245253.90354176145
 ,3348,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3984.560028253526,-0.0,403716.76129912847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,23963.382682151743,0.0,182426.2404395188,0.0,0.0,164672.75081384482,245253.90354176145
 ,3349,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4265.165568848899,-0.0,406128.45043472666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,18395.343709317352,0.0,179269.8906022826,0.0,-0.0,164672.75081384482,245253.90354176145
 ,3350,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4545.771109444272,-0.0,411916.5043601622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,12411.002757205626,0.0,179073.6035756064,0.0,0.0,164672.75081384482,245253.90354176145
 ,3351,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4826.376650039645,-0.0,408540.1395703248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,11734.512040879954,0.0,90586.97556222395,80413.11667354227,0.0,245085.8674873871,249274.55937543858
 ,3352,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,5106.982190635018,-0.0,395999.35606521444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,16964.305655551503,0.0,0.0,159723.57921809953,0.0,404809.4467054866,253240.08250266642
 ,3353,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,5387.587731230391,-0.0,370435.4512278742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,35333.630491164025,0.0,0.0,152871.59826407314,0.0,557681.0449695598,252897.4834549651
 ,3354,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,5668.193271825764,-0.0,328472.0602684666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,65593.5806098855,0.0,0.0,141725.46413008636,0.0,699406.5090996461,252340.17674826577
 ,3355,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,5948.798812421137,-0.0,258533.07533612056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,106495.25007388392,0.0,0.0,114070.87796975525,0.0,813477.3870694013,250957.4474402492
 ,3356,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,6229.40435301651,-0.0,113831.72720023217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,141802.86169134313,0.0,0.0,9886.366999822716,0.0,823363.754069224,245748.2218917526
 ,3357,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,6229.40435301651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,159079.39383135265,-0.0,0.0,0.0,75947.57850533321,747416.1755638908,235026.97233668584
 ,3358,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,6229.40435301651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,168680.3582284362,-0.0,0.0,0.0,65841.30019261368,681574.8753712771,234521.65842104988
 ,3359,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,6229.40435301651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,136234.82271850872,-0.0,0.0,0.0,99994.49546622156,581580.3799050555,236229.31818473028
 ,3360,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,6229.40435301651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,137509.74753004557,-0.0,0.0,0.0,98652.46934881434,482927.9105562412,236162.2168788599
 ,3361,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,6229.40435301651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,124318.17856169493,-0.0,0.0,0.0,112538.33142076239,370389.57913547877,236856.50998245733
 ,3362,31766.93453357302,21758.174338063713,49720.46876914081,4325.68078291525,4325.680782915251,0.0,45741.47887085903,34345.90541634709,0.0,0.0,6229.40435301651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,106443.21232647425,-0.0,0.0,0.0,131354.08535257363,239035.49378290513,237797.2976790479
 ,3363,31766.93453357302,21758.174338063713,36603.2059851638,3184.4789207092504,4325.680782915251,0.0,37577.3207486373,25284.76263043145,0.0,1141.201862206001,5088.202490810509,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,104621.89116713591,-0.0,0.0,0.0,74362.74296906032,164672.75081384482,178984.63413619623
